,Word
0,में (mẽ)
1,है (hai)
2,हैं (ha͠i)
3,नहीं (nahī̃)
4,लिए (lie)
5,गया (gayā)
6,तथा (tathā)
7,अपने (apne)
8,कुछ (kuch)
9,साथ (sāth)
10,होता (hotā)
11,था (thā)
12,दिया (diyā)
13,हुए (hue)
14,कोई (koī)
15,रूप (rūp)
16,से (se)
17,मैं (ma͠i)
18,रहा (rahā)
19,हुआ (huā)
20,बात (bāt)
21,कहा (kahā)
22,समय (samay)
23,क्या (kyā)
24,अपनी (apnī)
25,होती (hotī)
26,प्रकार (prakār)
27,बहुत (bahut)
28,तरह (tarah)
29,बाद (bād)
30,फिर (phir)
31,रहे (rahe)
32,द्वारा (dvārā)
33,अधिक (adhik)
34,रही (rahī)
35,होने (hone)
36,एवं (evã)
37,हुई (huī)
38,थे (the)
39,उनके (unke)
40,थी (thī)
41,वाले (vāle)
42,चाहिए (cāhie)
43,दिन (din)
44,लेकिन (lekin)
45,काम (kām)
46,हूँ (hū̃)
47,होते (hote)
48,इसके (iske)
49,उन्हें (unhẽ)
50,गये (gaye)
51,कभी (kabhī)
52,आदि (ādi)
53,लोग (log)
54,बार (bār)
55,यहाँ (yahā̃)
56,दोनों (donõ)
57,उन्होंने (unhonne)
58,कार्य (kārya)
59,पास (pās)
60,वहाँ (vahā̃)
61,भारत (bhārat)
62,लिया (liyā)
63,प्राप्त (prāpt)
64,उनकी (unkī)
65,लोगों (logõ)
66,गयी (gayī)
67,लगा (lagā)
68,अन्य (anya)
69,होगा (hogā)
70,इसी (isī)
71,देश (deś)
72,यदि (yadi)
73,सभी (sabhī)
74,नाम (nām)
75,वर्ष (varṣ)
76,ऐसा (aisā)
77,विकास (vikās)
78,अपना (apnā)
79,ऐसे (aise)
80,दूसरे (dūsre)
81,हाथ (hāth)
82,भाषा (bhāṣā)
83,मेरे (mere)
84,मैंने (mainne)
85,तुम (tum)
86,बीच (bīc)
87,वाली (vālī)
88,बड़े (baṛe)
89,प्रति (prati)
90,व्यक्ति (vyakti)
91,उनका (unkā)
92,लिये (liye)
93,इसलिए (islie)
94,तीन (tīn)
95,इसका (iskā)
96,ऐसी (aisī)
97,विशेष (viśeṣ)
98,बड़ी (baṛī)
99,अथवा (athvā)
100,भाग (bhāg)
101,क्योंकि (kyoṅki)
102,सिंह (sĩh)
103,ठीक (ṭhīk)
104,स्थिति (sthiti)
105,परन्तु (parantu)
106,स्थान (sthān)
107,यही (yahī)
108,क्यों (kyõ)
109,गाँव (gā̃v)
110,राज्य (rājya)
111,अलग (alag)
112,लेकर (lekar)
113,अभी (abhī)
114,इसमें (ismẽ)
115,विभिन्न (vibhinna)
116,सी (sī)
117,विचार (vicār)
118,जिस (jis)
119,बाहर (bāhar)
120,ऊपर (ūpar)
121,बना (banā)
122,तैयार (taiyār)
123,अनेक (anek)
124,सामने (sāmne)
125,शिक्षा (śikṣā)
126,शरीर (śarīr)
127,होकर (hokar)
128,दृष्टि (dŕṣṭi)
129,श्री (śrī)
130,थीं (thī̃)
131,दूर (dūr)
132,शब्द (śabd)
133,ध्यान (dhyān)
134,चार (cār)
135,मेरी (merī)
136,बड़ा (baṛā)
137,पता (patā)
138,लगता (lagtā)
139,आगे (āge)
140,किया (kiyā)
141,उत्तर (uttar)
142,किन्तु (kintu)
143,आने (āne)
144,लगे (lage)
145,लगभग (lagbhag)
146,इसे (ise)
147,लाख (lākh)
148,बारे (bāre)
149,होना (honā)
150,इससे (isse)
151,मात्रा (mātrā)
152,अध्ययन (adhyayan)
153,वाला (vālā)
154,जिसमें (jismẽ)
155,नीचे (nīce)
156,अर्थ (arth)
157,लोक (lok)
158,आवश्यक (āvaśyak)
159,हो (ho)
160,माँ (mā̃)
161,छोटे (choṭe)
162,प्रतिशत (pratiśat)
163,शुरू (śurū)
164,अगर (agar)
165,इतना (itnā)
166,आया (āyā)
167,होगी (hogī)
168,मिल (mil)
169,स्वयं (svayã)
170,रात (rāt)
171,बिना (binā)
172,हमें (hamẽ)
173,उपयोग (upyog)
174,किए (kie)
175,महत्वपूर्ण (mahatvapūrṇ)
176,मुख्य (mukhya)
177,साल (sāl)
178,ज्यादा (jyādā)
179,साहित्य (sāhitya)
180,पूर्व (pūrv)
181,निर्माण (nirmāṇ)
182,विषय (viṣay)
183,जिससे (jisse)
184,देख (dekh)
185,चित्र (citra)
186,लगी (lagī)
187,प्रत्येक (pratyek)
188,मनुष्य (manuṣya)
189,गई (gaī)
190,स्पष्ट (spaṣṭ)
191,दिनों (dinõ)
192,रंग (raṅg)
193,इसकी (iskī)
194,स्तर (star)
195,मेरा (merā)
196,दूसरी (dūsrī)
197,अच्छा (acchā)
198,रोग (rog)
199,काल (kāl)
200,अच्छी (acchī)
201,विज्ञान (vigyān)
202,भाई (bhāī)
203,ज्ञान (gyān)
204,दिल्ली (dillī)
205,बनाने (banāne)
206,रुपये (rupye)
207,रखा (rakhā)
208,आवश्यकता (āvaśyaktā)
209,आता (ātā)
210,कौन (kaun)
211,हों (hõ)
212,आर्थिक (ārthik)
213,सहायता (sahāytā)
214,अतिरिक्त (atirikt)
215,देर (der)
216,तरफ (taraph)
217,लेने (lene)
218,चला (calā)
219,सामाजिक (sāmājik)
220,समझ (samajh)
221,मगर (magar)
222,आते (āte)
223,बच्चे (bacce)
224,कला (kalā)
225,पत्र (patra)
226,भीतर (bhītar)
227,संस्कृति (sanskŕti)
228,उनमें (unmẽ)
229,वर्ग (varg)
230,विभाग (vibhāg)
231,चाहता (cāhtā)
232,सिर (sir)
233,बताया (batāyā)
234,जगह (jagah)
235,वही (vahī)
236,इतनी (itnī)
237,स्थापित (sthāpit)
238,राष्ट्रीय (rāṣṭrīya)
239,स्वर (svar)
240,क्षेत्रों (kṣetrõ)
241,जिसके (jiske)
242,जन्म (janma)
243,जाए (jāe)
244,दौरान (daurān)
245,गांधी (gāndhī)
246,हाँ (hā̃)
247,जनता (jantā)
248,किस (kis)
249,केन्द्र (kendra)
250,साहब (sāhab)
251,पूर्ण (pūrṇ)
252,पुलिस (pulis)
253,बोला (bolā)
254,थईआ (thaīā)
255,कमी (kamī)
256,समस्या (samasyā)
257,कार्यक्रम (kāryakram)
258,विवाह (vivāh)
259,भूमि (bhūmi)
260,भाव (bhāv)
261,देखकर (dekhkar)
262,करोड़ (karoṛ)
263,प्रथम (pratham)
264,मूल (mūl)
265,परिवर्तन (parivartan)
266,बच्चों (baccõ)
267,लाभ (lābh)
268,प्रदान (pradān)
269,आये (āye)
270,छोटी (choṭī)
271,स्त्री (strī)
272,सेवा (sevā)
273,व्यवहार (vyavhār)
274,राम (rām)
275,रचना (racnā)
276,की (kī)
277,भिन्न (bhinna)
278,मिट्टी (miṭṭī)
279,देशों (deśõ)
280,इनके (inke)
281,आती (ātī)
282,सही (sahī)
283,उपलब्ध (uplabdh)
284,बल्कि (balki)
285,प्राय (prāy)
286,बिजली (bijlī)
287,लेते (lete)
288,जान (jān)
289,बढ़ (baṛh)
290,सारे (sāre)
291,शायद (śāyad)
292,सरकारी (sarkārī)
293,पड़ (paṛ)
294,चुका (cukā)
295,पड़ा (paṛā)
296,विधि (vidhi)
297,छोड़ (choṛ)
298,लिखा (likhā)
299,जबकि (jabki)
300,सिर्फ (sirph)
301,दर्शन (darśan)
302,प्रक्रिया (prakriyā)
303,दिखाई (dikhāī)
304,कुल (kul)
305,शब्दों (śabdõ)
306,लाल (lāl)
307,निकल (nikal)
308,नये (naye)
309,रखने (rakhne)
310,पंजाब (pañjāb)
311,नदी (nadī)
312,गए (gae)
313,मृत्यु (mŕtyu)
314,स्वीकार (svīkār)
315,अन्तरिक्ष (antarikṣ)
316,आकर (ākar)
317,याद (yād)
318,उठा (uṭhā)
319,दूध (dūdh)
320,कांग्रेस (kāṅgres)
321,सारी (sārī)
322,माध्यम (mādhyam)
323,दूसरा (dūsrā)
324,संबंध (sambandh)
325,जिन (jin)
326,चाहे (cāhe)
327,चाहते (cāhte)
328,प्रणाली (praṇālī)
329,तभी (tabhī)
330,होंगे (hoṅge)
331,इनमें (inmẽ)
332,सन (san)
333,मान (mān)
334,पुत्र (putra)
335,उद्देश्य (uddeśya)
336,विश्वास (viśvās)
337,पिछले (pichle)
338,ताकि (tāki)
339,निश्चित (niścit)
340,जिसका (jiskā)
341,जानकारी (jānkārī)
342,नेता (netā)
343,बालक (bālak)
344,अन्त (ant)
345,उचित (ucit)
346,संगीत (saṅgīt)
347,जल्दी (jaldī)
348,क्षमता (kṣamtā)
349,हजार (hajār)
350,जाएगा (jāegā)
351,बनाया (banāyā)
352,पति (pati)
353,कोशिश (kośiś)
354,चुके (cuke)
355,खाने (khāne)
356,फसल (phasal)
357,प्रकृति (prakŕti)
358,पौधों (paudhõ)
359,प्रकट (prakaṭ)
360,पक्ष (pakṣ)
361,नीति (nīti)
362,यद्यपि (yadyapi)
363,मात्र (mātra)
364,भारी (bhārī)
365,पुस्तकालय (pustakālay)
366,चले (cale)
367,समिति (samiti)
368,सामग्री (sāmagrī)
369,चाहिये (cāhiye)
370,अन्तर्गत (antargat)
371,माल (māl)
372,शामिल (śāmil)
373,बोली (bolī)
374,उनसे (unse)
375,अपेक्षा (apekṣā)
376,हेतु (hetu)
377,नगर (nagar)
378,दिये (diye)
379,सम्बन्धी (sambandhī)
380,पुस्तक (pustak)
381,खुद (khud)
382,वर्णन (varṇan)
383,बने (bane)
384,जोर (jor)
385,करें (karẽ)
386,जिनमें (jinmẽ)
387,लक्षण (lakṣaṇ)
388,नामक (nāmak)
389,वहीं (vahī̃)
390,तुम्हारे (tumhāre)
391,विश्व (viśva)
392,शासन (śāsan)
393,वैसे (vaise)
394,युग (yug)
395,बैठ (baiṭh)
396,स्थापना (sthāpnā)
397,अर्थात (arthāt)
398,सारा (sārā)
399,लेता (letā)
400,लगती (lagtī)
401,शैली (śailī)
402,लें (lẽ)
403,पार्टी (pārṭī)
404,गीत (gīt)
405,अवसर (avsar)
406,युद्ध (yuddh)
407,मालूम (mālūm)
408,चारों (cārõ)
409,प्रकाश (prakāś)
410,जायेगा (jāyegā)
411,बैठे (baiṭhe)
412,तुम्हें (tumhẽ)
413,समाप्त (samāpt)
414,जाय (jāy)
415,साफ (sāph)
416,धार्मिक (dhārmik)
417,ताप (tāp)
418,उल्लेख (ullekh)
419,वर्तमान (vartamān)
420,लेना (lenā)
421,थोड़ी (thoṛī)
422,इनका (inkā)
423,विकसित (viksit)
424,बन्द (band)
425,प्रसिद्ध (prasiddh)
426,विशिष्ट (viśiṣṭ)
427,प्रेम (prem)
428,चली (calī)
429,रखते (rakhte)
430,भावना (bhāvnā)
431,चलता (caltā)
432,सिद्ध (siddh)
433,वालों (vālõ)
434,चित्रों (citrõ)
435,पुरुष (puruṣ)
436,पदार्थ (padārth)
437,चर्चा (carcā)
438,खाना (khānā)
439,उच्च (ucc)
440,इतने (itne)
441,दी (dī)
442,दिए (die)
443,सीमा (sīmā)
444,वस्तु (vastu)
445,पड़ी (paṛī)
446,गति (gati)
447,अत्यन्त (atyant)
448,संगठन (saṅgṭhan)
449,कितना (kitnā)
450,इस्तेमाल (istemāl)
451,बाबा (bābā)
452,प्रकाशित (prakāśit)
453,ढंग (ḍhaṅg)
454,अधिकार (adhikār)
455,उधर (udhar)
456,पड़े (paṛe)
457,सके (sake)
458,सूचना (sūcnā)
459,अंग्रेजी (aṅgrejī)
460,सुन्दर (sundar)
461,पुनः (punaḥ)
462,केंद्रीय (kendrīya)
463,आधुनिक (ādhunik)
464,शहर (śahar)
465,प्रधानमंत्री (pradhānmantrī)
466,ब्राह्मण (brāhmaṇ)
467,उनको (unko)
468,महीने (mahīne)
469,अच्छे (acche)
470,हवा (havā)
471,शाम (śām)
472,इधर (idhar)
473,संसार (sansār)
474,विरोध (virodh)
475,रखना (rakhnā)
476,प्रशिक्षण (praśikṣaṇ)
477,संघ (saṅgh)
478,बनी (banī)
479,पृथ्वी (pŕthvī)
480,ऊर्जा (ūrjā)
481,हमने (hamne)
482,वास्तविक (vāstavik)
483,सहयोग (sahyog)
484,तेल (tel)
485,अवधि (avdhi)
486,सात (sāt)
487,लगते (lagte)
488,मार्ग (mārg)
489,बंद (band)
490,प्रचलित (praclit)
491,संघर्ष (saṅgharṣ)
492,दिशा (diśā)
493,स्थित (sthit)
494,बैठा (baiṭhā)
495,वर्षों (varṣõ)
496,अधिकांश (adhikānś)
497,शादी (śādī)
498,वातावरण (vātāvraṇ)
499,तुलना (tulnā)
500,राजीव (rājīv)
501,साधारण (sādhāraṇ)
502,सम्पूर्ण (sampūrṇ)
503,राजस्थान (rājasthān)
504,सफल (saphal)
505,कितने (kitne)
506,वापस (vāpas)
507,मानसिक (mānsik)
508,परम्परा (paramparā)
509,बोले (bole)
510,बीज (bīj)
511,खेल (khel)
512,अंग (aṅg)
513,बैठक (baiṭhak)
514,जरूरत (jarūrat)
515,ग्रामीण (grāmīṇ)
516,इनकी (inkī)
517,कथा (kathā)
518,आयु (āyu)
519,बातचीत (bātcīt)
520,प्रभावित (prabhāvit)
521,निर्धारित (nirdhārit)
522,निकाल (nikāl)
523,घटना (ghaṭnā)
524,कितनी (kitnī)
525,कवि (kavi)
526,रक्त (rakt)
527,बालकों (bālkõ)
528,किसान (kisān)
529,इच्छा (icchā)
530,आयी (āyī)
531,बजे (baje)
532,चेहरे (cehre)
533,गुण (guṇ)
534,आकार (ākār)
535,हृदय (hŕday)
536,राज (rāj)
537,मार (mār)
538,चुकी (cukī)
539,यात्रा (yātrā)
540,नष्ट (naṣṭ)
541,खेती (khetī)
542,सुबह (subah)
543,नयी (nayī)
544,जिन्हें (jinhẽ)
545,आरम्भ (ārambh)
546,सुनकर (sunkar)
547,वायु (vāyu)
548,नजर (najar)
549,थोड़ा (thoṛā)
550,खाली (khālī)
551,ॐ (om)
552,खोज (khoj)
553,एकदम (ekdam)
554,व्यक्तियों (vyaktiyõ)
555,राजनीतिक (rājnītik)
556,आँखें (ā̃khẽ)
557,संबंधित (sambandhit)
558,तेज (tej)
559,जरा (jarā)
560,व्यक्तित्व (vyaktitva)
561,बदल (badal)
562,सवाल (savāl)
563,उपभोक्ता (upbhoktā)
564,उपज (upaj)
565,सुख (sukh)
566,मानते (mānte)
567,मकान (makān)
568,तेजी (tejī)
569,जुलाई (julāī)
570,प्रयत्न (prayatna)
571,देवता (devtā)
572,जानते (jānte)
573,कपड़े (kapṛe)
574,संभव (sambhav)
575,सकता (saktā)
576,मदद (madad)
577,वास्तव (vāstav)
578,निकट (nikaṭ)
579,चलते (calte)
580,बाकी (bākī)
581,सोच (soc)
582,समस्त (samast)
583,सदस्य (sadasya)
584,कठिन (kaṭhin)
585,अरे (are)
586,राज्यों (rājyõ)
587,नया (nayā)
588,सीधे (sīdhe)
589,फूल (phūl)
590,किस्म (kisma)
591,अभाव (abhāv)
592,जरूरी (jarūrī)
593,सेना (senā)
594,श्रम (śram)
595,विदेशी (videśī)
596,बाल (bāl)
597,पुराने (purāne)
598,किंतु (kintu)
599,विस्तार (vistār)
600,जाएगी (jāegī)
601,छोटा (choṭā)
602,वनस्पति (vanaspati)
603,खर्च (kharc)
604,पार (pār)
605,अधिकारी (adhikārī)
606,चलने (calne)
607,आशा (āśā)
608,सुधार (sudhār)
609,विशाल (viśāl)
610,पूर्ति (pūrti)
611,डाल (ḍāl)
612,जानता (jāntā)
613,महसूस (mahsūs)
614,बोल (bol)
615,प्रतीत (pratīt)
616,अध्यक्ष (adhyakṣ)
617,सीखने (sīkhne)
618,वर्ण (varṇ)
619,व्यापक (vyāpak)
620,भविष्य (bhaviṣya)
621,ध्वनि (dhvani)
622,प्रयुक्त (prayukt)
623,प्रचार (pracār)
624,प्यार (pyār)
625,शिक्षण (śikṣaṇ)
626,शेष (śeṣ)
627,मार्च (mārc)
628,दुनिया (duniyā)
629,ख्याल (khyāl)
630,प्रगति (pragti)
631,गैस (gais)
632,लगातार (lagātār)
633,तौर (taur)
634,उन्हीं (unhī̃)
635,सुरक्षित (surakṣit)
636,सभा (sabhā)
637,लौट (lauṭ)
638,लागत (lāgat)
639,बनाये (banāye)
640,दर्द (dard)
641,आखिर (ākhir)
642,सोचा (socā)
643,दें (dẽ)
644,चीज (cīj)
645,कल्पना (kalpanā)
646,लक्ष्य (lakṣya)
647,चाय (cāy)
648,खूब (khūb)
649,श्रीमती (śrīmtī)
650,लाने (lāne)
651,मुक्त (mukt)
652,बुद्धि (buddhi)
653,पश्चिम (paścim)
654,खेत (khet)
655,होनी (honī)
656,चाहती (cāhtī)
657,उपयुक्त (upyukt)
658,अंत (ant)
659,साधन (sādhan)
660,संकेत (saṅket)
661,वस्तुओं (vastuõ)
662,मामले (māmle)
663,बनाकर (banākar)
664,सहज (sahaj)
665,सदा (sadā)
666,शारीरिक (śārīrik)
667,पकड़ (pakaṛ)
668,उपाय (upāy)
669,संस्थान (sansthān)
670,सफलता (saphaltā)
671,बाबू (bābū)
672,तुम्हारी (tumhārī)
673,भूल (bhūl)
674,आत्मा (ātmā)
